geoid,name,pctrent30_23,pctowned30_23,class
"25009252502",2525.02,0.458677686,0.2397995705,
"25009252601",2526.01,0.4784946237,0.3071925754,
"25009252602",2526.02,0.3696202532,0.2255639098,
"25009252603",2526.03,0.356097561,0.1738636364,
"25009253100",2531,0.59437751,0.2757201646,
"25009253201",2532.01,0.155982906,0.3698630137,
"25009253202",2532.02,0.5559729527,0.2472324723,
"25009253203",2532.03,0.5141700405,0.3070866142,
"25009253204",2532.04,0.4858490566,0.341607565,
"25009253205",2532.05,0,0.2176091625,
"25009254100",2541,0.2207446809,0.2898486198,
"25009254200",2542,0.3977128335,0.1888111888,
"25009254301",2543.01,0.2671232877,0.2315270936,
"25009254302",2543.02,0,0.2603092784,
"25009254401",2544.01,0.4277929155,0.2383419689,
"25009254402",2544.02,0.3374613003,0.3005029338,
"25009254403",2544.03,0.4464285714,0.1274426508,
"25009260100",2601,0.6732406992,0.5333333333,
"25009260200",2602,0.6300429185,0.3357843137,
"25009260301",2603.01,0.4140625,0.2600536193,
"25009260302",2603.02,0.3066666667,0.2252747253,
"25009260401",2604.01,0.4577259475,0.2001477105,
"25009260402",2604.02,0.3838383838,0.1723214286,
"25009260500",2605,0.78515625,0.2946655377,
"25009260600",2606,0.488045007,0.2117962466,
"25009260700",2607,0.5840490798,0.3762088975,
"25009260800",2608,0.5225846926,0.4499229584,
"25009260900",2609,0.364516129,0.3474576271,
"25009261000",2610,0.5565068493,0.26953125,
"25009261101",2611.01,0.7412587413,0.218151071,
"25009261102",2611.02,0.4322469983,0.2165178571,
"25009262100",2621,0.6140350877,0.2457943925,
"25009263100",2631,0.4487179487,0.1632782719,
"25009264100",2641,0.481981982,0.2673469388,
"25009265101",2651.01,0.3519553073,0.2072617247,
"25009265102",2651.02,0.5657492355,0.2125,
"25009266100",2661,0.4718309859,0.2899246059,
"25009266200",2662,0.7473841555,0.2751388032,
"25009266300",2663,0.4292379471,0.2863475177,
"25009266400",2664,0.7153846154,0.291886196,
"25009267102",2671.02,0.6204620462,0.2959427208,
"25009267103",2671.03,0.4136546185,0.3805970149,
"25009267104",2671.04,0.5096359743,0.2313432836,
"25009268100",2681,0.7307692308,0.1685393258,
"25009268200",2682,0.5067934783,0.2738730005,
"25009268300",2683,0.3362831858,0.2871794872,
"25009268400",2684,0.2518159806,0.2831585441,
"25009269100",2691,0.4454022989,0.2004464286,
"25009270100",2701,0.4693877551,0.2219426271,
"25009990100",9901,,,
"25011040100",401,0.3714285714,0.235259434,
"25011040200",402,0.3074712644,0.2382892057,
"25011040300",403,0.5771812081,0.1274509804,
"25011040400",404,0.439688716,0.2364106989,
"25011040501",405.01,0.5128676471,0.3780952381,
"25011040502",405.02,0.3798283262,0.2296072508,
"25011040600",406,0.5427135678,0.2387022016,
"25011040701",407.01,0.5429417572,0.2534161491,
"25011040702",407.02,0.621559633,0.1865569273,
"25011040800",408,0.6243567753,0.1889149102,
"25011040900",409,0.3188405797,0.2533476165,
"25011041000",410,0.4727272727,0.3268698061,
"25011041100",411,0.5272727273,0.2192192192,
"25011041200",412,0.5412474849,0.3225108225,
"25011041301",413.01,0.5211970075,0.489010989,
"25011041302",413.02,0.6084710744,0.5239852399,
"25011041400",414,0.5934579439,0.4440993789,
"25011041501",415.01,0.5625,0.277852349,
"25011041502",415.02,0.4293478261,0.180608365,
"25013800101",8001.01,0.4508474576,0.3595505618,
"25013800102",8001.02,0.4831460674,0.4385150812,
"25013800201",8002.01,0.6506849315,0.3143012507,
"25013800202",8002.02,0.2772277228,0.2274881517,
"25013800300",8003,0.6444444444,0.4176904177,
"25013800400",8004,0.3430656934,0.2291196388,
"25013800500",8005,0.5017361111,0.3480243161,
"25013800600",8006,0.6952998379,0.2784810127,
"25013800700",8007,0.3886925795,0.4854368932,
"25013800800",8008,0.6818830243,0.4210526316,
"25013800900",8009,0.6063422635,0.09090909091,
"25013801101",8011.01,0.5637583893,0,
"25013801102",8011.02,0.455505279,1,
"25013801200",8012,0.6853932584,0,
"25013801300",8013,0.5777568332,0.297810219,
"25013801401",8014.01,0.6626180837,0.3560311284,
"25013801402",8014.02,0.4803370787,0.2666666667,
"25013801501",8015.01,0.4557823129,0.3983344899,
"25013801502",8015.02,0.6342857143,0.3725165563,
"25013801503",8015.03,0.5104166667,0.2940057088,
"25013801601",8016.01,0.8457142857,0.2083333333,
"25013801602",8016.02,0.329787234,0.283476899,
"25013801603",8016.03,0.3880126183,0.3379310345,
"25013801604",8016.04,0.4864864865,0.3158602151,
"25013801605",8016.05,0.551607445,0.2913385827,
"25013801700",8017,0.5895522388,0.4265279584,
"25013801800",8018,0.6469864699,0.4515306122,
"25013801901",8019.01,0.4473462511,0.6464646465,
"25013801902",8019.02,0.5634477255,0.4421052632,
"25013802000",8020,0.5572374645,0.5289855072,
"25013802101",8021.01,0.5729646697,0.2885952712,
"25013802200",8022,0.7954545455,0.5882352941,
"25013802300",8023,0.4833906071,0.3063660477,
"25013802400",8024,0.2588832487,0.3345615328,
"25013802500",8025,0.422037422,0.2939825448,
"25013802601",8026.01,0.5947986577,0.2662835249,
"25013802602",8026.02,0.3076923077,0.3333333333,
"25013810100",8101,0.4542079208,0.2419825073,
"25013810200",8102,0.6650124069,0.302354399,
"25013810300",8103,0.238410596,0.2527040315,
"25013810403",8104.03,0.4742014742,0.1825293351,
"25013810404",8104.04,0.2225806452,0.2402538531,
"25013810412",8104.12,0.4641509434,0.2009936766,
"25013810414",8104.14,0.5157894737,0.2288135593,
"25013810601",8106.01,0.4925544101,0.2931034483,
"25013810602",8106.02,0,0.1499556344,
"25013810700",8107,0.4240121581,0.2262996942,
"25013810800",8108,0.4081803005,0.2658045977,
"25013810901",8109.01,0.5300546448,0.1942446043,
"25013810902",8109.02,0.3597033375,0.2794846383,
"25013811000",8110,0.350148368,0.3701889433,
"25013811101",8111.01,0.5565862709,0.5020242915,
"25013811102",8111.02,0.3692434211,0.217218543,
"25013811200",8112,0.8158508159,0.3038138332,
"25013811301",8113.01,0.4916792738,0.2283172721,
"25013811302",8113.02,0.6121842496,0.2722799344,
"25013811400",8114,0.3997233748,0.3361344538,
"25013811500",8115,0.6192810458,0,
"25013811600",8116,0.4123524069,0.5490196078,
"25013811700",8117,0.5143160127,0.152,
"25013811800",8118,0.5342584562,0.1926782274,
"25013811900",8119,0.3285714286,0.2283393502,
"25013812001",8120.01,0.3802647413,0.1387900356,
"25013812002",8120.02,0.5875273523,0.31875,
"25013812101",8121.01,0.06578947368,0.2435970404,
"25013812103",8121.03,0.4340836013,0.2456140351,
"25013812104",8121.04,0.5475206612,0.265993266,
"25013812201",8122.01,0.6508064516,0.2270220588,
"25013812202",8122.02,0.5237020316,0.1719394773,
"25013812300",8123,0.5566502463,0.2721893491,
"25013812401",8124.01,0,0.1988461538,
"25013812403",8124.03,0.5971049457,0.3201542912,
"25013812404",8124.04,0.5531914894,0.1894060995,
"25013812500",8125,0.595342067,0.1197822142,
"25013812600",8126,0.3294346979,0.2039473684,
"25013812701",8127.01,0.5136268344,0.4482248521,
"25013812702",8127.02,0.419778002,0.1091180867,
"25013812800",8128,0.3848920863,0.2322869955,
"25013812901",8129.01,0.3575418994,0.2101200686,
"25013812902",8129.02,0.3724137931,0.1530373832,
"25013812903",8129.03,,0,
"25013813001",8130.01,0.3383458647,0.2316176471,
"25013813002",8130.02,0.2892561983,0.2518669382,
